Gemeenten 2021 onbewerkte Iv3-data


Report type;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget;Budget
Topic;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing;1e plaatsing
Category;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions;L1.1 Salaries and social security contributions
Municipalities;Alblasserdam;Albrandswaard;Alphen aan den Rijn;Barendrecht;Bodegraven-Reeuwijk;Brielle;Capelle aan den IJssel;Delft;Dordrecht;Goeree-Overflakkee;Gorinchem;Gouda;'s-Gravenhage (municipality);Hardinxveld-Giessendam;Hellevoetsluis;Hendrik-Ido-Ambacht;Hillegom;Hoeksche Waard;Kaag and Braassem;Katwijk;Krimpen aan den IJssel;Krimpenerwaard;Lansingerland;Lead;Leiderdorp;Leidschendam-Voorburg;Lisse;Maassluis;Central Delfland;Molenlanden;Nieuwkoop;Nissewaard;Noordwijk;Oegstgeest;Papendrecht;Pijnacker-Nootdorp;Ridderkerk;Rijswijk (ZH.);Rotterdam;Schiedam;Sliedrecht;Teylingen;Vlaardingen;Advances;Waddinxveen;Wassenaar;Westland;Westvoorne;Zoetermeer;Zoeterwoude;Zuidplas;Zwijndrecht
Task field / balance sheet item;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros;1,000 euros
0.3 Management of other buildings and land;0;0;0;0;262;177;0;624;568;0;104;972;1085;0;0;57;0;104;0;457;69;118;.;342;140;824;0;53;0;125;25;696;515;0;0;0;0;1253;.;1660;1;0;.;0;0;0;1007;42;187;0;223;0
0.4 Overhead;6004;159;22002;157;6262;3712;13265;24214;15052;11022;7972;13163;221626;1329;17009;2403;138;16333;10341;11825;3126;10564;.;13048;1986;14006;145;5660;5339;7408;5616;17071;8670;2549;5446;8827;165;17157;.;15627;3744;83;.;0;5254;0;28844;4173;31093;1,924;8509;5197
2.1 Traffic and transportation;0;0;4174;0;840;447;1863;2924;2946;1919;954;905;39824;506;0;461;0;3913;0;2107;922;1336;.;10842;699;2249;0;1098;384;1184;1256;2820;1939;786;1324;2879;0;1704;.;1568;628;0;.;0;685;0;2786;235;3639;389;1166;1028
2.5 Public transportation;0;0;16;0;10;8;0;101;177;0;1452;0;130;0;0;24;0;16;0;55;3;0;.;73;0;19;0;0;0;22;0;0;0;0;0;0;0;47;.;0;0;0;.;0;0;0;0;8;0;0;0;0
3.1 Economic development;0;0;516;0;256;0;297;497;416;227;149;0;3809;80;16;151;0;596;0;468;176;224;.;855;46;306;0;74;0;92;302;207;465;197;179;228;0;228;.;585;170;0;.;0;11;0;751;163;0;0;236;269
3.2 Physical business infrastructure;0;0;340;0;92;39;0;0;520;0;187;0;857;0;0;55;0;118;0;20;20;83;.;0;32;36;0;85;118;0;0;34;0;0;26;277;0;0;.;0;-78;0;.;0;3;0;9;0;345;0;0;20
7.4 Environmental management;0;0;426;0;245;138;669;783;611;301;576;509;3781;80;0;260;0;502;0;746;41;116;.;655;131;851;0;482;160;366;53;194;0;0;179;716;0;110;.;643;182;0;.;0;137;0;544;6;339;437;108;154
8.1 Spatial planning;0;0;769;0;710;242;1211;978;723;554;524;1416;2221;373;0;258;0;2130;0;2796;49;1355;.;1910;195;1879;0;323;481;828;421;1294;1610;264;189;1079;0;753;.;1984;124;0;.;0;209;0;3387;451;3125;318;867;1288
8.2 Land development (non-commercial ..;0;0;1476;0;0;87;1273;1146;1265;330;257;82;3540;0;0;415;0;136;0;90;3;156;.;1894;192;218;0;183;318;0;934;937;0;0;353;1437;0;592;.;0;0;0;.;0;0;0;841;892;3069;150;612;211
8.3 Living and building;0;0;3552;0;507;480;1239;3656;1133;1610;1407;724;40549;635;0;961;0;4057;0;2134;477;1788;.;3967;654;2209;0;1268;710;1446;1040;1320;439;1337;1334;1062;0;1145;.;2600;697;0;.;0;401;0;4031;0;3020;355;544;1300
Bron: Gemeenten
