Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920005;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Groot Roodehaan B.V.;Zonnepark Groot Roodehaan;-;GRONINGEN;Groningen; 38,99 ; 37.041 ;15; 33.892.927 ; Veldsysteem ;;
SDE1920012;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;L.M.S. B.V.;Poelweg 40d;1424PB;DE KWAKEL;Noord-Holland; 0,89 ; 844 ;15; 822.510 ; Daksysteem ;;
SDE1920014;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian II B.V.;Belgieplein 107;1066RC;AMSTERDAM;Noord-Holland; 0,21 ; 203 ;15; 192.119 ; Daksysteem ;;
SDE1920018;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Achterbosch Kleinmetaal Bewerking B.V.;Dieselweg 4;7591HG;DENEKAMP;Overijssel; 0,49 ; 464 ;15; 452.010 ; Daksysteem ;;
SDE1920030;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5688**;OIRSCHOT;Noord-Brabant; 0,32 ; 304 ;15; 296.400 ; Daksysteem ;;
SDE1920050;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hockey Club Nova;Stadionbaan 38;6416CS;HEERLEN;Limburg; 0,02 ; 15 ;15; 15.043 ; Daksysteem ;;
SDE1920068;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;H. Mensen Projectontwikkeling B.V.;Zonnepark Emmer-Compascuum (80%-deel);-;EMMEN;Drenthe; 4,10 ; 3.890 ;15; 3.617.933 ; Veldsysteem ;;
SDE1920078;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;4693**;POORTVLIET;Zeeland; 0,10 ; 95 ;15; 91.200 ; Daksysteem ;;
SDE1920091;Zon;2019 Zon-PV >= 1 MWp daksystemen;Hemi Onroerend Goed B.V.;Curieweg 2;4691ST;THOLEN;Zeeland; 1,53 ; 1.449 ;15; 1.390.800 ; Daksysteem ;;
SDE1920098;Zon;2019 Zon-PV >= 1 MWp daksystemen;Montea Beuningen N.V.;Verloren van Themaatweg 2;6121RG;BORN;Limburg; 3,60 ; 3.420 ;15; 3.334.500 ; Daksysteem ;;
