Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,640.0,2887.0,675.0
0,1,646.0,2765.0,667.5
0,2,749.0,3087.0,693.0
0,3,543.0,2783.0,730.5
0,4,484.0,2720.0,717.0
0,5,748.0,3051.0,759.0
0,6,746.0,2755.0,735.0
0,7,836.0,3146.0,759.0
0,8,700.0,2365.0,697.5
0,9,626.0,2693.0,673.5
0,10,657.0,2936.0,714.0
0,11,728.0,2673.0,709.5
0,12,785.0,2670.0,696.0
0,13,811.0,2861.0,694.5
0,14,761.0,2775.0,739.5
0,15,629.0,2521.0,699.0
0,16,751.0,2622.0,762.0
0,17,635.0,3185.0,694.5
0,18,640.0,2990.0,766.5
0,19,639.0,2908.0,694.5
0,20,738.0,3120.0,684.0
0,21,612.0,3319.0,759.0
0,22,888.0,2861.0,666.0
0,23,752.0,2839.0,754.5
0,24,766.0,3270.0,691.5
0,25,753.0,3168.0,717.0
0,26,629.0,2864.0,700.5
0,27,754.0,3063.0,721.5
0,28,662.0,2540.0,676.5
0,29,771.0,2817.0,793.5
0,30,822.0,2999.0,655.5
0,31,804.0,2897.0,747.0
0,32,623.0,2454.0,651.0
0,33,699.0,2450.0,678.0
0,34,681.0,2562.0,727.5
0,35,718.0,2742.0,727.5
0,36,636.0,3031.0,715.5
0,37,680.0,2775.0,700.5
0,38,606.0,2769.0,714.0
0,39,700.0,2572.0,790.5
0,40,689.0,2707.0,711.0
0,41,750.0,2525.0,774.0
0,42,741.0,2564.0,765.0
0,43,651.0,2836.0,795.0
0,44,868.0,2735.0,798.0
0,45,816.0,2884.0,738.0
0,46,754.0,2343.0,646.5
0,47,737.0,2718.0,688.5
0,48,544.0,2691.0,742.5
0,49,498.0,3200.0,738.0
0,50,813.0,2422.0,690.0
0,51,701.0,2985.0,720.0
0,52,602.0,2945.0,732.0
0,53,669.0,2682.0,705.0
0,54,569.0,3022.0,703.5
0,55,651.0,3225.0,726.0
0,56,1034.0,2996.0,709.5
0,57,584.0,2777.0,757.5
0,58,727.0,3003.0,735.0
0,59,797.0,3038.0,810.0
0,60,679.0,2788.0,669.0
0,61,560.0,2773.0,736.5
0,62,719.0,3042.0,720.0
0,63,620.0,3263.0,706.5
0,64,658.0,2785.0,673.5
0,65,786.0,3054.0,636.0
0,66,676.0,3053.0,718.5
0,67,644.0,2164.0,733.5
0,68,627.0,2646.0,709.5
0,69,568.0,2877.0,682.5
0,70,723.0,2953.0,687.0
0,71,812.0,3473.0,655.5
0,72,662.0,3653.0,733.5
0,73,891.0,3141.0,700.5
0,74,881.0,3168.0,757.5
0,75,668.0,3082.0,709.5
0,76,635.0,3160.0,724.5
0,77,662.0,2906.0,718.5
0,78,703.0,3011.0,766.5
