Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,50.0,206.0,109.5
0,1,59.0,163.0,135.0
0,2,59.0,104.0,142.5
0,3,74.0,207.0,130.5
0,4,45.0,206.0,114.0
0,5,50.0,283.0,124.5
0,6,25.0,90.0,139.5
0,7,35.0,165.0,135.0
0,8,44.0,163.0,147.0
0,9,40.0,310.0,108.0
0,10,40.0,207.0,117.0
0,11,78.0,30.0,138.0
0,12,70.0,342.0,144.0
0,13,48.0,238.0,133.5
0,14,40.0,180.0,124.5
0,15,49.0,326.0,126.0
0,16,54.0,267.0,138.0
0,17,35.0,238.0,121.5
0,18,59.0,179.0,148.5
0,19,50.0,222.0,135.0
0,20,35.0,179.0,124.5
0,21,99.0,208.0,144.0
0,22,84.0,133.0,139.5
0,23,50.0,120.0,138.0
0,24,68.0,207.0,135.0
0,25,39.0,326.0,114.0
0,26,80.0,355.0,130.5
0,27,50.0,118.0,118.5
0,28,20.0,192.0,124.5
0,29,64.0,208.0,108.0
0,30,40.0,193.0,139.5
0,31,79.0,164.0,129.0
0,32,72.0,90.0,127.5
0,33,35.0,164.0,123.0
0,34,40.0,237.0,133.5
0,35,60.0,148.0,115.5
0,36,60.0,133.0,127.5
0,37,35.0,251.0,114.0
0,38,65.0,177.0,126.0
0,39,35.0,194.0,120.0
0,40,78.0,149.0,97.5
0,41,59.0,311.0,130.5
0,42,74.0,267.0,133.5
0,43,50.0,120.0,118.5
0,44,60.0,177.0,136.5
0,45,30.0,134.0,123.0
0,46,50.0,208.0,123.0
0,47,35.0,177.0,108.0
0,48,25.0,268.0,136.5
0,49,55.0,119.0,141.0
0,50,45.0,267.0,127.5
0,51,65.0,239.0,141.0
0,52,65.0,149.0,130.5
0,53,45.0,193.0,130.5
0,54,55.0,193.0,141.0
0,55,40.0,238.0,130.5
0,56,44.0,195.0,132.0
0,57,108.0,180.0,106.5
0,58,60.0,148.0,123.0
0,59,20.0,163.0,127.5
0,60,78.0,180.0,145.5
0,61,50.0,104.0,118.5
0,62,40.0,194.0,121.5
0,63,40.0,238.0,156.0
0,64,45.0,150.0,139.5
0,65,79.0,241.0,127.5
