,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,8.0,8.0,15.0,1.0,4.0,1.0,True
1,15.0,15.0,14.0,-4.0,-2.0,11.0,False
2,19.0,5.0,20.0,-1.0,-4.0,14.0,False
3,7.0,25.0,3.0,2.0,-2.0,15.0,False
4,4.0,18.0,11.0,5.0,4.0,22.0,False
5,13.0,21.0,22.0,-3.0,2.0,23.0,False
6,1.0,14.0,25.0,1.0,0.0,4.0,True
7,20.0,4.0,0.0,-1.0,3.0,9.0,True
8,12.0,2.0,8.0,4.0,-3.0,20.0,True
9,25.0,10.0,6.0,-3.0,-1.0,5.0,True
