,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
0,23.0,22.0,8.0,-5.0,-5.0,24.0,True
1,17.0,6.0,2.0,2.0,-2.0,7.0,True
2,13.0,15.0,21.0,1.0,1.0,2.0,False
3,2.0,5.0,23.0,-4.0,5.0,3.0,True
4,19.0,17.0,24.0,-1.0,3.0,20.0,False
5,3.0,21.0,20.0,3.0,-3.0,21.0,False
6,1.0,23.0,22.0,4.0,4.0,7.0,True
7,16.0,16.0,15.0,-2.0,4.0,19.0,True
8,1.0,8.0,23.0,3.0,1.0,1.0,True
9,25.0,1.0,12.0,-3.0,-4.0,16.0,False
10,5.0,8.0,2.0,1.0,2.0,10.0,False
11,15.0,9.0,20.0,-2.0,-5.0,0.0,True
12,7.0,25.0,24.0,-3.0,2.0,18.0,False
13,11.0,20.0,3.0,0.0,2.0,4.0,True
14,6.0,2.0,6.0,3.0,-1.0,2.0,False
15,7.0,0.0,7.0,-5.0,-0.0,3.0,True
16,14.0,20.0,8.0,-1.0,-1.0,10.0,False
17,17.0,22.0,18.0,-5.0,3.0,5.0,True
18,3.0,11.0,6.0,1.0,1.0,13.0,False
19,21.0,7.0,22.0,-4.0,0.0,17.0,False
20,20.0,13.0,0.0,-2.0,1.0,22.0,False
21,15.0,19.0,14.0,-4.0,0.0,22.0,True
22,11.0,6.0,10.0,4.0,-0.0,18.0,False
23,4.0,7.0,11.0,-0.0,-4.0,23.0,True
24,4.0,5.0,4.0,2.0,2.0,23.0,True
25,8.0,10.0,19.0,5.0,3.0,6.0,True
26,0.0,17.0,19.0,3.0,4.0,14.0,True
27,23.0,13.0,3.0,3.0,-2.0,6.0,False
28,6.0,11.0,7.0,-3.0,-4.0,13.0,False
29,21.0,2.0,1.0,2.0,-2.0,8.0,False
30,12.0,16.0,12.0,4.0,-4.0,15.0,True
31,13.0,23.0,18.0,4.0,4.0,15.0,False
32,10.0,14.0,4.0,2.0,-3.0,21.0,True
33,19.0,24.0,13.0,2.0,-3.0,19.0,True
34,22.0,4.0,13.0,5.0,2.0,12.0,True
35,10.0,15.0,1.0,-1.0,5.0,11.0,True
36,24.0,18.0,9.0,1.0,-2.0,12.0,False
37,12.0,3.0,5.0,-1.0,5.0,14.0,False
38,9.0,1.0,9.0,1.0,3.0,16.0,True
39,9.0,3.0,16.0,4.0,3.0,25.0,False
40,16.0,12.0,17.0,-1.0,-5.0,9.0,False
41,18.0,4.0,16.0,-2.0,1.0,20.0,True
42,24.0,21.0,10.0,-2.0,4.0,1.0,False
43,20.0,12.0,17.0,0.0,-1.0,9.0,False
44,5.0,19.0,15.0,-0.0,-3.0,24.0,True
45,8.0,18.0,14.0,-4.0,-3.0,8.0,True
46,22.0,24.0,11.0,5.0,-1.0,11.0,False
47,18.0,9.0,25.0,-4.0,-2.0,17.0,False
48,14.0,14.0,21.0,-2.0,-2.0,4.0,False
49,2.0,10.0,5.0,-3.0,-0.0,5.0,True
